lat,lon,trend_1901_2023_C_decade,trend_1994_2023_C_decade
52.5000,-97.5000,0.1415,0.0741
57.5000,-97.5000,0.1377,0.0088
62.5000,-97.5000,0.1381,0.0445
67.5000,-97.5000,0.1604,0.1905
72.5000,-97.5000,0.2183,0.3389
77.5000,-97.5000,0.1968,0.3742
82.5000,-97.5000,0.2346,0.4401
87.5000,-97.5000,0.2698,0.4545
-87.5000,-92.5000,0.2128,0.4070
-82.5000,-92.5000,0.2332,0.3426
-77.5000,-92.5000,0.2454,0.4084
-72.5000,-92.5000,0.2707,0.5595
-67.5000,-92.5000,0.0932,0.2891
-62.5000,-92.5000,0.0854,0.0646
-57.5000,-92.5000,0.0751,0.0063
-52.5000,-92.5000,0.0722,-0.0400
-47.5000,-92.5000,0.0776,-0.0009
-42.5000,-92.5000,0.0839,0.0823
-37.5000,-92.5000,0.0859,0.1334
-32.5000,-92.5000,0.0738,0.0336
-27.5000,-92.5000,0.0576,-0.0234
-22.5000,-92.5000,0.0443,-0.1106
-17.5000,-92.5000,0.0454,-0.1700
-12.5000,-92.5000,0.0579,-0.1740
-7.5000,-92.5000,0.0691,-0.0647
-2.5000,-92.5000,0.0689,-0.0041
2.5000,-92.5000,0.0822,0.1157
7.5000,-92.5000,0.0850,0.1211
12.5000,-92.5000,0.0860,0.1714
17.5000,-92.5000,0.0978,0.2436
22.5000,-92.5000,0.0839,0.2150
27.5000,-92.5000,0.0736,0.2679
32.5000,-92.5000,0.0886,0.2266
37.5000,-92.5000,0.0942,0.1895
42.5000,-92.5000,0.1069,0.1441
